date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:30:45	44687/44687	---M--	200	added ('OK')	image/jpeg	etag:%225bb4ff07-ae8f%22	http://thisisarmor.com/wp-content/uploads/2017/10/scott-peters-full.jpg	E:/MINI-PROJECT/team2/x/thisisarmor.com/wp-content/uploads/2017/10/scott-peters-full.jpg	(from http://thisisarmor.com/about/)
22:30:52	86659/86659	---MC-	200	added ('OK')	text/javascript	date:Fri,%2024%20Mar%202017%2020:55:54%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	E:/MINI-PROJECT/team2/x/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from http://thisisarmor.com/about/)
22:30:52	66/66	---M--	302	error ('Found')	text/plain	date:Thu,%2006%20Dec%202018%2017:00:46%20GMT	https://unpkg.com/scrollreveal/dist/scrollreveal.min.js	E:/MINI-PROJECT/team2/x/unpkg.com/scrollreveal/dist/scrollreveal.min.c.delayed	(from http://thisisarmor.com/about/)
22:30:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2006%20Dec%202018%2017:00:53%20GMT	http://cdn.jsdelivr.net/jquery.slick/1.6.0/slick.min.js	E:/MINI-PROJECT/team2/x/cdn.jsdelivr.net/jquery.slick/1.6.0/slick.min.e.delayed	(from http://thisisarmor.com/about/)
22:30:54	16563/16563	---MCZ	200	added ('OK')	application/javascript	etag:W/%2240b3-0rowMlij7QDnmzzWAmr64JMxBK4%22	https://unpkg.com/scrollreveal@4.0.5/dist/scrollreveal.min.js	E:/MINI-PROJECT/team2/x/unpkg.com/scrollreveal@4.0.5/dist/scrollreveal.min.js	(from http://thisisarmor.com/about/)
22:30:55	41953/41953	---M-Z	200	added ('OK')	application/javascript	etag:%22a3e1-6fy8xPpwy6CTuB2YKht4UJQUzvc%22	https://cdn.jsdelivr.net/jquery.slick/1.6.0/slick.min.js	E:/MINI-PROJECT/team2/x/cdn.jsdelivr.net/jquery.slick/1.6.0/slick.min.js	(from http://thisisarmor.com/about/)
22:30:55	31148/31148	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225bb4ff07-79ac%22	http://thisisarmor.com/wp-content/themes/armor/js/_vendors.js	E:/MINI-PROJECT/team2/x/thisisarmor.com/wp-content/themes/armor/js/_vendors.js	(from http://thisisarmor.com/about/)
22:30:56	7378/7378	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225bb4ff07-1cd2%22	http://thisisarmor.com/wp-content/themes/armor/js/main.js	E:/MINI-PROJECT/team2/x/thisisarmor.com/wp-content/themes/armor/js/main.js	(from http://thisisarmor.com/about/)
22:30:56	1398/1398	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225bb4fee3-576%22	http://thisisarmor.com/wp-includes/js/wp-embed.min.js?ver=4.9.8	E:/MINI-PROJECT/team2/x/thisisarmor.com/wp-includes/js/wp-embed.min5010.js	(from http://thisisarmor.com/about/)
22:31:02	6573/6573	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Dec%202018%2017:00:58%20GMT	https://use.typekit.net/apq6esv.css	E:/MINI-PROJECT/team2/x/use.typekit.net/apq6esv.css	(from http://thisisarmor.com/wp-content/themes/armor/style.css?ver=4.9.8)
22:31:02	1908/1908	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225bb4ff07-774%22	http://thisisarmor.com/wp-content/themes/armor/fonts/armor-icons.eot	E:/MINI-PROJECT/team2/x/thisisarmor.com/wp-content/themes/armor/fonts/armor-icons.eot	(from http://thisisarmor.com/wp-content/themes/armor/style.css?ver=4.9.8)
22:31:03	1804/1804	---M--	200	added ('OK')	application/x-font-woff	etag:%225bb4ff07-70c%22	http://thisisarmor.com/wp-content/themes/armor/fonts/armor-icons.woff	E:/MINI-PROJECT/team2/x/thisisarmor.com/wp-content/themes/armor/fonts/armor-icons.woff	(from http://thisisarmor.com/wp-content/themes/armor/style.css?ver=4.9.8)
22:31:07	324843/324843	---M--	200	added ('OK')	image/jpeg	etag:%225bb4ff07-4f4eb%22	http://thisisarmor.com/wp-content/uploads/2018/03/hilary-sedgwick-full.jpg	E:/MINI-PROJECT/team2/x/thisisarmor.com/wp-content/uploads/2018/03/hilary-sedgwick-full.jpg	(from http://thisisarmor.com/about/)
